,0,1
499,Chipotle Mexican Grill,8300
500,Patterson,480
501,RPM International,24
502,Equinix,1100
503,Navient,372
504,Chemours,309
505,ON Semiconductor,762
506,TransDigm Group,53
507,Host Hotels & Resorts,6200
508,Select Medical Holdings,729
509,Par Pacific Holdings,19
510,Sonoco Products,565
511,Roper Technologies,25
512,Harley-Davidson,927
513,Jefferies Financial Group,620
514,Kelly Services,5700
515,Microchip Technology,1000
516,McCormick,359
517,MDU Resources Group,21
518,Fastenal,3000
519,Big Lots,2000
520,Penn National Gaming,328
521,Western Union,1500
522,Under Armour,1700
523,Xylem,555
524,Skechers U.S.A.,1000
525,Domtar,235
526,NiSource,191
527,Marathon Oil,356
528,National General Holdings,790
529,Telephone & Data Systems,1
530,Agilent Technologies,1600
531,Ametek,425
532,Evergy,53
533,International Flavors & Fragrances,483
534,ADT,27000
535,Welltower,60
536,Windstream Holdings,1700
537,Michaels,4800
538,Kemper,920
539,Hyatt Hotels,4100
540,Alexion Pharmaceuticals,486
541,Resideo Technologies,167
542,CACI International,1900
543,Electronic Arts,2700
544,Vulcan Materials,217
545,TreeHouse Foods,285
546,Global Payments,459
547,Hanover Insurance Group,557
548,Camping World Holdings,527
549,Cornerstone Building Brands,51
550,YRC Worldwide,201
551,CME Group,902
552,Chewy,1200
553,Knight-Swift Transportation Holdings,425
554,Moody's,1100
555,Coca-Cola Consolidated,1000
556,Carlisle,134
557,Sealed Air,706
558,A-Mark Precious Metals,6
559,Watsco,28
560,Taylor Morrison Home,490
561,IAC/InterActiveCorp,635
562,Leggett & Platt,261
563,OneMain Holdings,1400
564,Schneider National,1200
565,Martin Marietta Materials,233
566,NortonLifeLock,4700
567,Hasbro,770
568,Square,711
569,Terex,617
570,Syneos Health,894
571,FMC,344
572,Boise Cascade,138
573,Continental Resources,75
574,Peabody Energy,182
575,Encompass Health,1500
576,Greif,170
577,Concho Resources,81
578,Hubbell,209
579,CF Industries Holdings,129
580,KLA,1
581,Genesis Healthcare,1800
582,Brunswick,160
583,KB Home,4
584,Globe Life,264
585,Mattel,1100
586,Ryerson Holding,796
587,Silgan Holdings,19
588,Zebra Technologies,771
589,Intuitive Surgical,680
590,Warner Music Group,482
591,Conduent,4300
592,Juniper Networks,2800
593,Noble Energy,361
594,Vertiv Holdings,397
595,Tiffany,1400
596,EQT,1800
597,UFP Industries,144
598,Diebold Nixdorf,1800
599,Antero Resources,35
600,Meritor,382
601,Broadridge Financial Solutions,1400
602,Church & Dwight,5
603,Marriott Vacations Worldwide,732
604,Edwards Lifesciences,728
605,Colfax,50
606,Insperity,709
607,American Eagle Outfitters,5500
608,Keysight Technologies,908
609,JELD-WEN Holding,389
610,Iron Mountain,1600
611,Nasdaq,662
612,Gartner,4100
613,Sinclair Broadcast Group,669
614,Ingles Markets,868
615,Monster Beverage,328
616,Murphy Oil,833
617,Vertex Pharmaceuticals,510
618,First Republic Bank,486
619,Bloomin' Brands,298
620,Spectrum Brands Holdings,493
621,Quad/Graphics,1000
622,Flowers Foods,392
623,CUNA Mutual Group,483
624,Allegheny Technologies,387
625,Old Dominion Freight Line,572
626,Landstar System,201
627,American National Group,447
628,Snap-on,344
629,Brookdale Senior Living,3400
630,Amkor Technology,227
631,Wyndham Destinations,1600
632,PPD,1900
633,Dentsply Sirona,647
634,CNO Financial Group,1
635,Urban Outfitters,3300
636,Sabre,1900
637,Mercury General,366
638,Diamondback Energy,26
639,Parsons,1100
640,Aaron's,1400
641,Flowserve,809
642,Carvana,555
643,ASGN,1
644,Sally Beauty Holdings,1800
645,ScanSource,284
646,Ventas,35
647,Country Financial,626
648,TriNet Group,739
649,Spirit Airlines,524
650,Comerica,911
651,Lennox International,541
652,Timken,548
653,Paychex,2900
654,Amerco,425
655,Worthington Industries,286
656,Lamb Weston Holdings,114
657,Laureate Education,993
658,Penn Mutual Life Insurance,187
659,iHeartMedia,1700
660,Brink's,1000
661,Sentry Insurance Group,361
662,Acuity Brands,384
663,Hub Group,422
664,Meritage Homes,375
665,MRC Global,81
666,Alliant Energy,221
667,Workday,1700
668,BMC Stock Holdings,186
669,Abercrombie & Fitch,6300
670,Domino's Pizza,7800
671,Lyft,2700
672,Meredith,632
673,American Water Works,383
674,Albemarle,202
675,Ciena,1100
676,Barnes & Noble,87
677,Weis Markets,856
678,Illumina,1200
679,SVB Financial Group,560
680,Carter's,1400
